1::George Lucas::420
591::Brion James::429|513|541|544|1102|1527|1796|2289|2458|3352|3371|3529
592::Joe Turkel::541|1178|1258|2726
593::Joanna Cassidy::93|541|836|1758|2987
602::Linda DeScenna::5
606::Charles Knode::1080
608::Hayao Miyazaki::3000
643::Gong Li::326|446|1280|1514|1829|3158
648::Philip Kaufman::1295
649::Vernon Dobtcheff::254|488|578|895|1044|1056|1291|1496|2041|2175|2442|2467|2489|3028|3378|3635|3723
650::Karen Allen::483|779|1198|1244|1524|3087|3421|3699|3755
652::Paul Freeman::181|715|1198|1497|2817|3390
653::Ronald Lacey::1198|2373|3049
655::John Rhys-Davies::725|1064|1081|1121|1198|1291|1489|2477
656::Denholm Elliott::1198|1291|1296|2138|2928|3039|3094|3204|3215
658::Alfred Molina::113|196|240|294|368|429|714|1177|1198|1496|1673|1689|2295|2828|3160|3479|3547
659::Wolf Kahler::515|1198|2197|2730|3137|3204|3223|3519
660::Anthony Higgins::453|1198|2414|3215|3221|3419
661::Vic Tablian::1198|3498
662::Don Fellows::1198|1350|2337|2641|2643
663::William Hootkins::126|143|260|592|880|1180|1198|1437|2643|2786|2965|3100|3446
664::Frank Marshall::1198|3152
673::Bernd Eichinger::2161
677::Moritz Bleibtreu::2692
678::Martina Gedeck::811|860
679::Franka Potente::2692|3892
681::Nina Hoss::654
682::Uwe Ochsenknecht::739|824|1233
683::Jasmin Tabatabai::2562
688::Hermann Beyer::824
689::Kate Capshaw::46|257|270|1628|2115|2317|2629|3770
690::Ke Huy Quan::2005|2115|3243
691::Amrish Puri::1293|2115
693::Roshan Seth::393|1293|2115
694::Philip Stone::357|1206|1258|2115|2116|2730|2993|3215|3366
695::Roy Chiao::2115|3444
696::David Yip::1411|2115|2376|2605
699::Chua Kah Joo::2115
701::Rex Ngui::2115
702::Philip Tan::552|592|1472|1918|2093|2115|2286|2508|2865|3390|3646
707::Dan Aykroyd::158|234|333|435|505|637|697|710|734|1220|1390|1396|1500|1772|1962|2115|2265|2270|2294|2659|2716|2717|3039|3149|3616
711::Robert Watts::2142
716::Emile Ardolino::1088
722::Jennifer Grey::871|1088|2918|3214|3441
723::Patrick Swayze::201|203|587|1088|1869|2114|2242|3441
724::Cynthia Rhodes::1088|2942|3937
725::Jerry Orbach::595|1064|1088|1946|2808|2956|2973|3500|3734|3763
726::Jack Weston::1088|2764
727::Jane Brucker::1088
728::Kelly Bishop::278|538|1088|1476|2849|3317
729::Lonny Price::1088|3398
730::Max Cantor::1088
733::Alvin Myerovich::1088
734::Paula Trueman::1088|2346|3072|3508
735::Arthur F. Repola::2115
738::Sean Connery::168|257|462|517|653|733|1027|1275|1291|1303|1610|2043|2153|2181|2194|2443|2467|2526|2605|2822|2947|2948|2949|2968|2993|3062|3197
739::Alison Doody::1291|2376|3523
740::Julian Glover::1196|1291|1948|2989|3658
741::River Phoenix::1259|1291|1396|1611|2734
742::Michael Byrne::110|1291|1350|1479|1722|2320|3519|3593
743::Kevork Malikyan::1291|3498
744::Robert Eddison::1291
745::Richard Young::1291|1978
746::Alexei Sayle::1291
747::Alex Hyde-White::597|1291
748::Paul Maxwell::1200|1291|2550
749::Isla Blair::1291|2863|3748
765::Hiam Abbass::1571
769::Martin Brest::3210
771::Don Simpson::1100
774::Daniel Petrie Jr.::3120
776::Eddie Murphy::93|122|420|788|1432|1907|1911|2306|2587|2735|2770|3039|3120|3821
777::Judge Reinhold::317|420|1663|1824|2003|2463|3210
778::John Ashton::569|624|1181|1290|1822|2368|2676|3104|3359
780::Ronny Cox::1422|2558|2871|2916|2985|3371
781::Paul Reiser::603|1200|2689|2961|3543
782::Steven Berkoff::71|1206|2402|2730
783::Jonathan Banks::204|711|2003|2458|2584|2757|2791|3165|3724|3802
785::James Russo::297|416|439|624|1102|1227|1466|1611|1726|2264|2419|3149|3210|3355
786::Stephen Elliott::2737|3430|3524|3731
787::Gilbert R. Hill::420
788::Art Kimbro::2254
790::Michael Champion::2301|2916|3716
793::Luis Buñuel::154
819::Edward Norton::628|1057|1120|2231|2329|2959|3536
820::Edward Furlong::113|268|589|767|2282|2329|2514|2772
821::Beverly D'Angelo::61|487|1461|1529|2329|2423|2689|2767|2794|2811|2865
822::Avery Brooks::1866|2329
823::Jennifer Lien::2329|2596
824::Ethan Suplee::180|1639|2329|2678|3052|3617|3916
825::Stacy Keach::849|1194|2329|3213
826::Fairuza Balk::81|724|880|2093|2329|2335|3897
827::Elliott Gould::72|245|1063|1294|1436|1472|1866|2044|2303|2329|2511|3396|3398
828::Guy Torry::706|1609|1776|2329|2623
829::William Russ::1231|2329|2756
830::Joe Cortese::684|2329
831::Jason Bose Smith::69|2329
832::Antonio David Lyons::2329
833::Alex Sol::2329|2715
834::Otto Preminger::3196
853::Alan Heim::2971
854::James Stewart::898|903|904|953|954|1934|1943|2142|2176|2183|2522|3088|3097|3311|3516|3778|3801|3818
855::Lee Remick::1350|3038|3801
856::Ben Gazzara::1055|1636|1732|1834|1916|2318|2702|2763|2767|3215|3372|3801
857::Arthur O'Connell::746|982|1083|2013|3801|3927
858::Duke Ellington::3801
860::Eve Arden::1380|1381|2612|3048|3801
861::Kathryn Grant::904|3153|3801
862::George C. Scott::490|700|1272|1999|2089|3284|3468|3708|3801
863::Orson Bean::2997|3801
865::Michael Bay::2723|3825
866::Russ Brown::2941|3801
879::Billy Bob Thornton::197|553|714|1358|1627|1694|1810|1824|1853|1917|2269|2391|2598|3728
880::Ben Affleck::180|441|1121|1302|1639|1655|1704|1917|2396|2504|2558|3052|3264|3298|3316|3449
882::Liv Tyler::764|781|1042|1498|1627|1917|2583|2893|3161|3477|3848
883::Will Patton::22|350|512|521|809|848|1498|1726|1917|2024|2246|2369|2466|2507|2605|2838|3505|3717|3747|3916
884::Steve Buscemi::81|163|176|296|413|471|517|608|714|795|849|869|1051|1089|1098|1245|1552|1732|1777|1785|1857|1917|2295|2327|2694|2733|3521|3534
886::William Fichtner::6|189|198|335|338|1352|1584|1661|1917|2580|3324|3755
887::Owen Wilson::101|784|1499|1917|2271|2507|2719|2844|3624|3948
894::Trevor Rabin::2392
912::Larry Ferguson::485|1610
920::Jürgen Prochnow::173|407|1183|1233|1608|1769|2021|2263|2549|3262
921::Brigitte Nielsen::2373|2411
922::Allen Garfield::228|312|640|1078|1082|1306|2303|2345|2616|3355|3730
923::Dean Stockwell::102|564|755|1305|1445|1608|1672|1940|2021|2076|2247|2289|3599
925::Paul Guilfoyle::143|268|300|500|566|710|731|762|832|862|1003|1404|1608|1617|1693|1810|2058|2307|2446|2450|2906|3051|3874
926::Ola Ray::2518
928::Rebecca Ferratti::344|2478
934::Russell Crowe::303|324|338|522|1549|1617|1832|2889|3006|3578
935::Connie Nielsen::1645|2271|2322|2395|3354|3578
936::Oliver Reed::1341|1951|2041|2877|3446|3578
937::Derek Jacobi::1050|1224|1411|2139|2304|3044|3230|3578|3580
938::Djimon Hounsou::316|482|1693|1708|1762|3578
939::David Schofield::1321|1408|1496|3578
940::John Shrapnel::816|1367|2671|3578
941::Tomas Arana::553|1610|1617|2022|3257|3578
942::Ralf Moeller::1562|2808|3578
944::Arthur Max::1586
945::Crispian Sallis::2376
952::Agustín Almodóvar::567|1190|1844|3067|3083
953::Cecilia Roth::789|3083
954::Marisa Paredes::617|887|1143|2324|3083
955::Penélope Cruz::887|1844|2441|2594|2675|3083|3227|3909
957::Matthew Vaughn::2542
958::Candela Peña::717|3083
961::Antonia San Juan::3083
962::Rosa María Sardà::3083|3277
963::Toni Cantó::2489|3083
964::Eloy Azorín::3083
965::Fernando Fernán Gómez::2911|3083|3746
966::Tim Maurice-Jones::2542
973::Jason Flemyng::151|781|1504|1760|1762|2542|2686
974::Dexter Fletcher::1056|1689|2313|2542|3163|3459
975::Nick Moran::2542
976::Jason Statham::2542|3891
978::Steven Mackintosh::580|892|1318|1898|2083|2542|3282|3547
980::Vinnie Jones::2542|3717
982::Sting::2021|2310|2542|2758|3539
984::Nicholas Rowe::2414|2542
985::Nick Marcq::2542
986::Charles Forbes::2542
987::Lenny McLean::2542
988::Peter McNicholl::2542
989::P.H. Moriarty::1389|2542|3256
990::Frank Harper::475|2542
991::Steve Sweeney::1923|2416|3515|3752
992::Huggy Leaver::173|744|2542
993::Tony McMahon::2542
994::Stephen Marcus::1180|2542|3179
995::Vas Blackwood::2542|3411
1003::Jean Reno::236|648|718|1216|1249|1564|1882|2278
1004::Danny Aiello::100|305|618|999|1221|1227|2065|2750|3072|3424|3476
1005::Peter Appel::274|499|994|1003|1061|1092|1100|2543|3319|3853
1006::Willi One Blood::829
1007::Don Creech::125|1904|2505
1010::Michael Badalucco::64|159|275|539|605|851|1098|1228|1245|1520|2369|2424|2702|3426
1018::Nikolaj Lie Kaas::3569
1032::Martin Scorsese::111|300|412|1179|2474|2811|2829|2976
1036::Cybill Shepherd::111|2829|3152
1037::Harvey Keitel::21|70|111|156|159|194|296|439|509|517|795|1089|1472|1565|1589|1654|2022|2267|2293|2610|2873|3127|3141|3247|3272|3304|3418|3555
1038::Jodie Foster::111|282|368|593|1584|2014|2037|2875|2895|3138|3155|3607
1039::Peter Boyle::111|317|339|533|561|1082|1278|1460|1862|1911|2537|3235|3464|3614
1040::Leonard Harris::111
1041::Diahnne Abbott::111
1042::Frank Adu::111|3246|3814
1043::Gino Ardito::111|3304
1044::Michael Chapman::517|1127|1894|2961|3200
1045::Bernard Herrmann::2182|2183
1060::Dean Cundey::355|480|2012
1062::Christopher Lloyd::81|310|410|513|558|1021|1193|1270|1375|1688|1857|2011|2012|2124|2413|2498|2555|2987|3529|3591
1063::Lea Thompson::419|575|1270|1290|1389|2011|2012|2450|3441
1064::Crispin Glover::337|444|564|714|1093|1120|1270|1977|3331|3893
1065::Thomas F. Wilson::1270|1330|1460|2011|2012|3389|3710
1066::Claudia Wells::1270
1067::Marc McClure::150|1042|1270|2012|2014|2640|2641|2642|2643|3724|3877
1068::Wendie Jo Sperber::270|1270|1380|2012|3525
1069::George DiCenzo::1270|1999|2262|2767|3471
1070::Frances Lee McCain::1259|1270|1407|2003|2104|2431|2561|3791
1072::James Tolkan::1101|1270|1327|1430|2011|2012|2458|2616|2799|3109|3165|3284|3734|3735
1074::Harry Waters, Jr.::75|1270|2011
1081::Herbert Knaup::989|2692
1082::Nina Petri::2692
1083::Armin Rohde::651|811|860|2692
1084::Joachim Król::106|651|811|860|2692
1086::Heino Ferch::2493|2692|2833|3378
1087::Lars Rudolph::846|2309|2692
1088::Ludger Pistor::527|2467|2692
1091::Joel Silver::2987
1100::Arnold Schwarzenegger::256|380|485|589|786|1240|1359|1562|1587|2373|2511|2916|3113|3527|3698
1101::Carl Weathers::104|1954|2409|2410|2411|3471|3519|3527|3682|3710
1102::Elpidia Carrillo::279|3389|3527|3697
1103::Bill Duke::493|2490|2912|3248|3527|3649|3705|3710
1104::Jesse Ventura::442|1562|3527|3698
1105::Sonny Landham::1994|2477|3527|3710
1106::Richard Chaves::1674|3527
1107::R.G. Armstrong::2122|2616|2779|2929|3038|3235|3487|3527
1108::Shane Black::519|1784|1853|3527
1109::Kevin Peter Hall::3388|3527|3697
1116::Alan Ford::1321|2542
1117::Dennis Farina::21|415|521|544|569|656|1463|1912|2028|2568|3104|3316
1118::Rade Šerbedžija::214|816|1479|1519|2007|2429|2712|2840|3623|3827
1120::Lennie James::1831|1873|2569
1121::Benicio del Toro::50|448|782|851|1114|1605|1884|2990|3896
1122::Mike Reid::2944
1125::Ewen Bremner::173|501|778|2765|2964
1137::Juliette Binoche::306|307|308|715|1183|1295|2704|2773|3874
1138::Benoît Régent::306|307
1139::Florence Pernel::307|308
1140::Charlotte Véry::307
1141::Hélène Vincent::307|1734
1142::Philippe Volter::307|1176|1277|3795
1145::Zbigniew Zamachowski::306|307|308
1146::Julie Delpy::215|306|307|308|482|552|2793|3786
1147::Janusz Gajos::308
1148::Jerzy Stuhr::308
1149::Aleksander Bardini::308|1176
1152::Oliver Stone::440|1090|1093|3173
1154::Giorgio Moroder::2198
1158::Al Pacino::6|67|100|431|858|1050|1095|1191|1221|1466|1645|2023|2616|3006|3173|3252|3362|3420|3735
1159::Steven Bauer::628|2457
1160::Michelle Pfeiffer::31|140|382|412|605|1043|1377|1381|1436|1624|2020|2247|2394|2546|2622|2802|2961|3479|3619|3684|3798
1161::Mary Elizabeth Mastrantonio::67|201|1027|1127|2474|2682|2711|3755|3810
1162::Robert Loggia::360|394|416|709|780|1332|1464|1480|1812|1820|2306|2458|2797|2902|3001|3102|3465|3512|3685
1163::Miriam Colon::7|469|800
1164::F. Murray Abraham::52|456|485|547|1050|1225|1516|1603|2393|2467|2709|3208|3284|3735
1165::Paul Shenar::1216|2139|2753
1166::Harris Yulin::15|312|343|349|719|1050|1332|1422|1665|2717|3178|3716
1167::Ángel Salazar::431
1169::Pepe Serna::2073|2109|3441
1170::Michael P. Moran::371|893|1061|1524|1892|2372|2510|2717|3707|3805
1171::Al Israel::31|227|431|1382|2703
1172::Dennis Holahan::1983
1173::Mark Margolis::344|612|766|1242|1459|1921|2101|2327|2753|2763|2805|2882|3113|3115|3524|3543|3949
1184::Anders W. Berthelsen::3320
1187::Saul Stein::20|283|3951
1201::Garry Marshall::234|2052|2468|2581|2811|3255|3712
1204::Julia Roberts::92|195|305|360|597|991|1057|1569|1597|2432|2671|2724|2803|3408|3436|3489|3686|3844
1205::Richard Gere::168|206|498|597|628|1686|1687|2071|2724|2741|2875|2932|3584|3649|3824
1206::Jason Alexander::87|371|435|505|597|627|783|878|1535|2734|2736|3476|3754
1208::Ralph Bellamy::597|951|2160|2650|2654|3039|3449
1209::Elinor Donahue::597|1973
1210::Héctor Elizondo::234|420|460|597|1167|1427|2255|2418|2506|2724|3212|3308|3384|3649
1211::Larry Miller::351|447|513|597|788|1167|1449|1679|1703|2108|2572|2724|2844|3240|3821|3911
1212::Laura San Giacomo::312|597|1186|1799|2811
1219::Amy Yasbeck::12|57|367|520|597|1837|2149|2798|2799
1220::Judith Baldwin::234|597|2257|2346
1229::Jeff Bridges::86|210|423|448|1353|1732|2105|2367|2368|2707|2749|2829|3102|3108|3152|3162|3206|3395|3684|3699|3731|3769|3952
1230::John Goodman::129|355|471|893|1394|1732|1754|1772|1848|2699|2976|3326|3400|3715|3754|3825
1231::Julianne Moore::23|186|190|304|334|457|535|1044|1441|1544|1673|1732|2327|2583|3125|3128|3160|3249|3620
1232::David Huddleston::195|486|829|1732|2399|3671
1233::Philip Seymour Hoffman::281|381|459|736|1673|1732|2171|2318|2431|2552|3115|3160|3176|3184|3252|3897
1234::Tara Reid::1732|2279|2541|2706|2838|2979
1235::Philip Moon::153|1647|1678|1732|2002
1236::Mark Pellegrino::1732|2002|3324|3433|3716
1237::Flea::542|1611|1732|1884|2011|2012|2114|2472|2855|3495
1238::Torsten Voges::1732|2505|3146
1239::Jimmie Dale Gilmore::1732
1240::Jack Kehler::208|383|437|1102|1390|1464|1609|1732|1864|1918|2112|2558|2561|2683|2828|3810
1241::John Turturro::159|205|300|448|639|988|1098|1245|1732|1840|2231|2369|2374|2474|2702|2767|2813|3308|3424|3425|3426
1242::James G. Hoosier::1732
1243::Woody Allen::52|492|1057|1077|1078|1230|1244|1701|1865|1963|2290|2294|2295|2973|3129|3618|3812|3814
1244::Jonathan Rhys Meyers::385|991|1651|1770|2062|2337|2674|3181
1245::Scarlett Johansson::118|257|862|1574|1707|1727
1246::Emily Mortimer::1049|1479|2336|2671|3273|3719|3784
