1::George Lucas::260|2628|3363
834::Otto Preminger::942|3678|3801
865::Michael Bay::145|733|1917
879::Billy Bob Thornton::1358
884::Steve Buscemi::1051
893::Tony Scott::161|555|782|1100|1101|2353|3550
933::William Nicholson::2197
956::Guy Ritchie::2542
1032::Martin Scorsese::16|111|412|1213|1228|1343|1730|2022|2474|2976
1035::Paul Schrader::1346|1458|2439|2755|3304|3649
1038::Jodie Foster::57
1044::Michael Chapman::2147
1071::Tom Tykwer::2692
1090::John McTiernan::165|485|1036|1610|2763|2822|2826|3527
1103::Bill Duke::1601|3248
1126::Krzysztof Kieślowski::306|307|308|1176
1128::Agnieszka Holland::202|531|1650|3183
1150::Brian De Palma::431|648|1345|2126|2194|3130|3354|3732
1152::Oliver Stone::14|288|465|1090|1093|1627|3173|3386
1158::Al Pacino::1050
1201::Garry Marshall::234|597|1167|2255|2418|2506|2724|3308
1203::J.F. Lawton::251
1215::Raja Gosnell::1707|2581|3646
1223::Joel Coen::471|608|1245|1394|1732|3683
1241::John Turturro::2767
1243::Woody Allen::52|348|492|1057|1077|1078|1230|1244|1701|1963|2065|2290|2356|2750|2973|3129|3618|3812|3813|3814
1254::Art Linson::3235
1255::David Mamet::1834|3613
1269::Kevin Costner::590|1726
1270::Charles Martin Smith::1592|2464
1496::Tod Browning::2644
1524::Harold Ramis::312|719|1265|2539|3552
1558::Søren Kragh-Jacobsen::3320
1614::Ang Lee::17|232|298|1635
1650::François Truffaut::2731
1704::Gore Verbinski::1713
1723::Walter Hill::210|458|996|3190
1724::Roger Spottiswoode::1722|2071|3268|3841
1726::Steven E. de Souza::393
1744::Robert Wise::1035|1253|1331|1337|1371|1947|2550|2670
1748::William Shatner::1373
1749::Leonard Nimoy::1375|1376|3449
1769::Sofia Coppola::3556
1776::Francis Ford Coppola::765|858|1208|1221|1339|1672|2023|2114|2469|3730
1788::Nicholas Meyer::1372|1374|3385
1869::Sönke Wortmann::651|811|860
1870::Gernot Roll::824
1884::Steven Soderbergh::335|483|1186|1546|1912|2912|3408
1895::Carl Reiner::445|1463|2109|2110|2111
1901::Caroline Thompson::421|1551
1927::Blake Edwards::902|1081|1083|3394|3465
1978::Iain Softley::170|1683
1979::Kevin Spacey::1352
2000::Lewis Milestone::966|1927|2669|2904
2004::George Abbott::2874
2034::Danny Boyle::319|778|1658|3285
2042::Stephen Hopkins::423|479|1049|1831|1972|3697|3906
2087::Richard Fleischer::1019|1323|2009|2135|2373|3066|3927
2163::Richard LaGravenese::2331
2171::Griffin Dunne::1541|2316
2178::Forest Whitaker::4|1888
2182::Pen Densham::650
2209::Jan de Bont::377|736|1556|2719
2226::Sydney Pollack::7|454|1959|2819|2906|3011|3074|3194
2228::Sean Penn::78
2239::Anthony Minghella::499|1183|3176
2260::Steven Zaillian::529|2433
2283::Stanley Tucci::994|2295|3514
2291::Paul McGuigan::2765
2294::Robert Rodriguez::18|70|163|2428|3267
2303::Wim Wenders::1211|1305|1306|2677|3518|3920
2352::Jean-Jacques Annaud::33|1619|2467|3036|3412
2355::Andrew Birkin::1437
2357::Howard Franklin::813
2380::David Carson::329
2388::Jonathan Frakes::1356|2393
2406::Mathieu Kassovitz::97|582
2419::Jean-Pierre Jeunet::29|1175|1690
2428::Ernst Lubitsch::936|946|3097|3739
2460::Randall Wallace::1801
2461::Mel Gibson::110|491
2523::Stuart Baird::494
2589::Terry George::1412
2628::Kiefer Sutherland::1523
2636::Alfred Hitchcock::903|904|908|928|929|930|931|933|965|1086|1219|1333|2176|2177|2178|2179|2180|2181|2182|2183|2184|2185|2186|2187|2200|2201|2202|2203|2204|2205|2206|2207|2208|2209|2210|2211|2212|2214|2215|2216|2217|2218|2219|2220|2221|2222|2223|2224|2226|2228|2229|2230|2389
2662::Frank Capra::905|944|953|954|973|1269|1934
2690::Peter Weir::448|1246|1674|1682|1913|2734|2919
2691::Tom Schulman::1503
2710::James Cameron::380|589|1127|1200|1240|1721
2746::Elia Kazan::949|1104|1940|1945|3038|3330
2765::Nicholas Ray::1103
2775::Corey Allen::2534
2778::Dennis Hopper::564|3168|3765
2836::Kimberly Peirce::2908
2880::Emilio Estevez::1548|2260
2891::Josef von Sternberg::978|1070
2917::James Whale::1340|2648|3932
3026::Rob Reiner::11|505|1197|1259|1288|1307|1401|2268|2961|3499
3027::Stephen King::2119
3030::Andrew Scheinman::569
3045::P.J. Hogan::342|1569
3047::Jocelyn Moorhouse::46|1624
3087::Robert Duvall::1694
3092::Diane Keaton::205|3299
3097::Gordon Willis::684
3110::Allison Anders::18|269|988|2865
3111::Alexandre Rockwell::18|795
3129::Tim Roth::3150
3131::Antonio Banderas::2977
3146::Billy Wilder::909|910|915|937|1938|3076|3196|3435|3736
3180::David Veloz::2271
3191::Risa Bramon Garcia::2504
3192::Billy Hopkins::1685
3224::Stephen Frears::92|1179|1482|2020|2252|2441|3481|3547
3238::Merian C. Cooper::2366
3239::Ernest B. Schoedsack::2366|2430
3289::Paul Weitz::2706
3317::Takeshi Kitano::1809
3349::James B. Harris::3165
3359::Laurence Olivier::1941
3388::James L. Brooks::472|1784|1958|2243
3415::Jerry Zucker::168|587|2463|2791
3417::Tony Goldwyn::2570
3431::Bruce Joel Rubin::3502
3451::Mel Stuart::1073
3460::Gene Wilder::2786
3556::Roman Polanski::229|347|1252|2160|3075|3355
3632::Richard Brooks::971|972
3636::Paul Newman::3069
3663::Jerry Lewis::2136
3712::Saul Rubinek::3876
3776::Jean-Luc Godard::680|1149|1572|1579
3974::Miloš Forman::1120|1193|1225|3174
4014::Paul W. S. Anderson::44|98|1590|2322
4027::Frank Darabont::318|3147
4037::Ron Shelton::354|852|3180|3263|3361
4040::Robert Wuhl::402
4065::Fred Zinnemann::1283|1944|1949
4081::Stanley Kramer::3379|3451|3469
4109::Michael Curtiz::912|940|2612|3122|3605|3675
4135::Robert Redford::300|1727|1956|3100
4137::Richard Friedenberg::1725
4173::Anthony Hopkins::660
4385::Sergio Leone::1201|1209|1227|2951|3681
4387::François Ozon::2192|3800
4415::Federico Fellini::775|1251|2351|2897
4429::Jim Jarmusch::714|1273|1279|1652|3328|3521|3925
4453::Thomas Vinterberg::2360
4489::Steve Oedekerk::19
4499::Tom Shadyac::344|788|1485|2431
4501::Dean Semler::1744
4522::Caroline Link::1893
4566::Alan Rickman::1728
4575::Marc Evans::1908
4590::Russ Meyer::390
4600::Joe Dante::1920|2003|2004|2072|3024
4610::John Landis::420|747|1220|1321|1772|2478|3039|3421|3760
4723::Brian Helgeland::2490
4724::Kevin Bacon::1531
4755::David R. Ellis::609
4756::Matthew Broderick::993
4759::David Kellogg::2720|3437
4762::Paul Thomas Anderson::1673|3160
4782::Michael Crichton::2527|3015|3937
4786::Richard Attenborough::534|1293|1398
4818::Roberto Benigni::2324|2593
4883::Manuel Pradal::1905
4945::Joe Johnston::2|558|2054|2094|2501
4955::Dario Argento::3587
4956::Bernardo Bertolucci::365|781|1960|2283|2573|2630|2925
4964::Hal Ashby::1235|1292|3099|3200|3371|3724
5026::Akira Kurosawa::1217|2019|2905|3030|3091
5029::Robert Siodmak::2653|3417|3849
5030::Edgar G. Ulmer::3305
5058::Roger Christian::1430|3593
5065::David Frankel::278
5066::Olivier Ducastel::2591
5067::Jacques Martineau::2591
5140::Wes Craven::93|366|1347|1407|1717|2465|2668|2996|3273
5149::Bonnie Hunt::3512
5174::Barry Sonnenfeld::21|410|453|1580|2124|2701
5216::Gus Van Sant::45|444|1611|1704|3019
5231::Wolfgang Petersen::292|474|1233|1608|2161|3755
5281::Spike Lee::159|352|639|1054|1840|2702|3246|3422|3423|3424|3425|3426|3865|3943
5306::Lasse Hallström::195|337|1300|3148
5342::Mike Nichols::141|382|1247|1810|2132|2245|2417|3167|3326
5345::Bennett Miller::2323
5446::David Hand::594|1282|2018
5501::Gary Fleder::81|1620
5572::Joel Schumacher::153|350|805|1562|2146|2505|3020|3115|3436|3686|3950
5602::David Lynch::1464|2021|2076|2313|2966|3262|3676
5632::Jack Fisk::2415
5655::Wes Anderson::101|2395
5656::Noah Baumbach::72|1906
5657::Anjelica Huston::1397|3124
5690::James Algar::1282|3159|3332
5691::Samuel Armstrong::1029|1282
5696::Bruce Beresford::462|726|1507|1962|2070|2738|2881|3811|3848
5834::Robert Stevenson::1010|1011|1012|1018|1028|1031|2015|2035|2043|2047|2056|2079|2095|2098
5877::Vincenzo Natali::2232
5953::Spike Jonze::2997
5970::Pier Paolo Pasolini::557
6046::Roland Emmerich::316|1882|2808|3753
6111::Mike Figgis::25|211|498|1668|2674|3116|3571
6159::Ron Howard::150|371|832|2100|2193|2374|2407|2518|2567|3107|3259|3526
6198::Vondie Curtis-Hall::1447
6201::Baz Luhrmann::1059|1188
6220::Gurinder Chadha::568
6295::Catherine Breillat::2894
6349::Alan J. Pakula::1096|1488|1964|2803
6361::Nick Hamm::887|2834
6400::Tom DiCillo::176|1857
6431::Darren Aronofsky::1921|3949
6448::Arthur Penn::1084|1424|3037
6449::Warren Beatty::1883|2616|2779|2929
6482::John Singleton::358|510|1465|3744
6495::Mira Nair::294|1475
6558::Gordon Parks::545|3729|3782
6592::Duwayne Dunham::1015
6593::John Huston::913|969|970|1254|1303|3334|3364|3685
6648::Ingmar Bergman::1237|2068|2131
6720::Joan Chen::2621|3824
6729::Robert Benton::281|1791|1955|3111|3395
6737::Jay Roach::1517|2683|2889|3948
6778::John Guillermin::2367|2368|2524|3372|3781
6817::Agnès Varda::1534|3637|3645
6818::Werner Herzog::620|2970|3002|3202
7017::Roger Michell::28|2671
7087::Brad Bird::2761
7130::Scott Alexander::3596
7131::Larry Karaszewski::3596
7145::Michael Lehmann::413|708|1285|1839
7187::Richard Donner::23|368|1350|1597|1918|2000|2001|2002|2005|2640|3087|3479
7213::Jonathan Mostow::1518|3555
7256::Lee Tamahori::290|707|1615
7270::Adrian Lyne::2025|2269|2942|3101|3476|3707
7301::Anthony Perkins::2903
7314::Nick Park::720|745|1148|3751
7395::Bobby Farrelly::785|1923|3515|3752
7396::Peter Farrelly::231|785|1923|3515|3752
7399::Ben Stiller::372|784
7467::David Fincher::47|1320|1625|2959
7482::Julian Schnabel::851
7501::Ronald Neame::2013|2526|3230
7506::Irwin Allen::2537|3926
7623::Sam Raimi::303|1215|1261|2391|2861
7671::Jeb Stuart::1661
7678::Hart Bochner::833
7736::Pål Sletaune::1861
7767::Sam Peckinpah::599|3339
7775::Stephen Sommers::1762|2617
7795::Buck Henry::2779
7847::Jim Wilson::1565
7854::Al Reinert::3338
7879::John Lasseter::1|2355|3114
7904::Billy Crystal::237|3500
7908::Frank Oz::60|1614|2140|2746|2770|3398|3809
8108::John Warren::1863
8246::Barry Levinson::225|478|1061|1395|1747|1779|1961|2253|2414|3078|3098|3448|3543
8297::Roger Avary::482
8300::Kevin Reynolds::208|1027|1609|2073
8328::John Milius::1587|3441
8403::David Hare::1543
8452::Andrei Tarkovsky::1232|3415|3503
8482::Robert Mulligan::1207|3714
8500::John Ford::1226|1935|3035|3095|3365
8558::Joe Alves::1389
8574::Walter Salles::2357
8635::Buster Keaton::3012|3022|3133|3140|3232
8636::Cecil B. DeMille::1943|2821
8685::Andrew Niccol::1653
8741::Victor Sjöström::957
8820::Joseph Henabery::2777
8823::Raoul Walsh::3406|3644
8843::Mick Jackson::433|1515|2108|3257
8844::Lawrence Kasdan::236|383|2112|2352|2883|2917
8858::Ivan Reitman::256|440|1526|1663|1894|2716|2717|3040
8876::Randal Kleiser::1380|2046|2053|2242|2950
8929::Charles Crichton::1079
8965::Roland Joffé::191|1299|2586|2745
8966::Bruce Robinson::1202|3557
8969::Chris Menges::530|2832
9032::Bryan Singer::50|2320|2850|3793
9033::Christopher McQuarrie::3896
9039::John Ottman::3908
9049::Victor Fleming::919|920
9054::Mervyn LeRoy::2967|3035|3604
9076::F. W. Murnau::1348
9082::Harold D. Schuster::1026
9108::Don Taylor::2533|2789
9168::Alan Parker::518|1298|1416|3060|3106|3179|3342|3498|3706
9181::Edward Zwick::266|647|1242|2262|2334
9182::Marshall Herskovitz::1758
9198::Vincent Ward::2173|2297
9200::John McNaughton::1053|1805|2159|3356
9248::Nora Ephron::275|539|1409|2424
9339::Lilly Wachowski::866|2571
9340::Lana Wachowski::866|2571
9577::George Roy Hill::1234|1304|2796
9603::Sergei Eisenstein::3742
9643::Robert Gordon::2663
9740::René Clément::659
9789::Robert Altman::305|535|869|1294|1841|2088|2289|2303|2511|2583|3093|3136
9855::Terence Young::2948|2949|2993
9868::Peter R. Hunt::2737|3633
9888::Claire Denis::1369|1664
9894::Bernhard Wicki::3062
9915::Guy Hamilton::2947|2991|3519|3639
10001::William Wyler::916|1287|1936|1939|3368
10051::Tobe Hooper::1994|2377|2459|2460|3021|3294
10076::Lewis Gilbert::3635|3638
10146::Jacques Tourneur::2066
10179::John Glen::2376|2817|2989|2990
10215::Paul McCartney::1421
10249::Volker Schlöndorff::1161|1783|3378
10296::Michael Goldenberg::74
10316::Theo Angelopoulos::2673
10367::John Waters::532|2282|2361|2926|3858
10400::Barbra Streisand::1353|3528
10467::William P. Cartlidge::2690
10491::Paul Verhoeven::193|1092|1676|2916|2985|3826
10517::Clyde Bruckman::3022
10586::Richard Lester::2641|2642|2863|2946|3049
10601::Joseph L. Mankiewicz::926|943|3549|3872
10702::Martin Campbell::10|504|2006
10707::Terry Jones::1080
10723::Mike Newell::148|357|1177|1466|2598
10757::Jane Campion::509|723|1417|3127
10765::Andrzej Bartkowiak::3452
10781::Michael Apted::282|422|1003|3077|3082
10790::Sam Wood::897|3870
10808::Stephen Norrington::2167
10828::Guillermo del Toro::565|1603
10930::Irvin Kershner::1196|2986|3445
10953::Gilbert Adler::842
10965::Chris Columbus::186|500|586|2133|2432|2953|3156
10967::Steve Kloves::451|3684
11057::Robert Towne::2237|2802
11091::Brett Ratner::1604|2273
11147::John Cassavetes::702|3283
11151::Nick Cassavetes::1038|1600
11181::Kenneth Branagh::96|273|497|1224|1411|3044|3045|3719
11218::Alfonso Cuarón::262|1735
11401::John Woo::95|464|1218|1573|3623
11419::Robert Kurtzman::1623
11426::Ben Sharpsteen::594|596|1029|1282
11427::Bill Roberts::596|1024|1029|1282|3611|3759
11428::Paul Satterfield::1282
11429::Hamilton Luske::596|1022|1026|1032|1282|2080|2085|2087|3611|3759|3775|3776
11430::Jim Handley::1282
11432::T. Hee::596|1282
11434::Wilfred Jackson::594|596|1022|1029|1032|1282|2080|2087|2099|3611|3776
11435::Howard Hawks::951|955|1284|2847|3487
11447::Albert Hughes::42|493|3718
11448::Allen Hughes::42|493|3718
11454::George Bowers::3331
11472::Irwin Winkler::185|2445
11505::John Hughes::1968|2134|2144|2918
11528::Jean Renoir::3134
11614::M. Night Shyamalan::1812|2762
11649::Cameron Crowe::1393|2248|3261|3897
11676::Mark Pellington::2707
11688::Jan Svěrák::1446
11694::Doug Liman::1060|2580
11770::John Carpenter::332|407|849|1128|1129|1982|2288|2328|2517|3699|3726|3740
11777::Tommy Lee Wallace::1984|2868
11805::Frank Whaley::2963
11806::Julia Sweeney::2499
11809::Rupert Wainwright::2036|2840
11834::David Seltzer::3480
11873::Roger Kumble::2541
11887::Brad Silberling::158|1835
11983::Alain Resnais::3530
12009::Anthony Harvey::3284
12011::William Castle::2781|2856
12114::Michael Cimino::1062|1263|3769
12160::Satyajit Ray::668|669|670
12227::Willard Carroll::2443
12238::David Lean::1204|1250|2067|2927
12300::Fred M. Wilcox::1301
12329::Vittorio De Sica::1362|3089|3808
12345::Virgil W. Vogel::2667
12438::Bob Balaban::2552
12453::Wong Kar-Wai::123|757
12523::Rob Bowman::1909
12698::Bob Clark::2555|2751|2804|3688|3689
12786::Simon West::1552|2688
12804::Peter Yates::304|679|3359
12824::Don Hahn::3159
12833::Edward Burns::144|804|1817
12840::John Badham::89|227|415|1675|3214|3705
12859::Steven Lisberger::2105
12881::Gary Goldman::1688|2876|3745
12920::David S. Ward::135|511
12936::Jim Abrahams::466|2463|2791
12952::Christopher Hampton::35|1040
12962::Jon Turteltaub::339|802|1020|2676|3784
12964::Michael Ritchie::437|528|1082|1583|2371|2372|2735
12987::David Zucker::2060|2463|2791|3868|3869
12988::Paul Michael Glaser::414|810|3270|3442|3698
12989::Andrew Davis::119|457|836|1385|1892
12991::Pat Proft::2170
13015::Phillip Noyce::349|540|1479|3005|3203|3256
13235::Alexander Payne::1392|2599
13265::Franklin J. Schaffner::1272|2529|3198|3204
13284::Stanley Donen::899|901|911|2259|2874|3606
13294::Gene Kelly::899|3606
13348::Howard Hughes::967
13367::John Harrison::2327
13426::Peter Segal::333|370|1390|3821
13484::Jim Sharman::2657
13488::Graeme Clifford::2757
13496::Marleen Gorris::82|1684
13524::Christopher Guest::1449|1887|3911
13563::Norman Jewison::289|885|1950|2764|2852|3072|3178|3251|3420
13581::Brian Levant::355|1359|2799|3564
13614::Deborah Kaplan::1895
13615::Harry Elfont::1895
13680::Marc Caro::29|1175
13776::John Frankenheimer::880|1267|2278|2475|3316|3634
13848::Charlie Chaplin::1281|3306|3307|3310|3462|3559|3629|3632|3640|3641
13859::Stuart Rosenberg::1276|1327|2347|3215|3389
13953::Edward F. Cline::3140|3929
13973::Christian Nyby::2660
13980::Vincente Minnelli::900|918|934|935|938|939|3073
14132::Nicolas Roeg::816|1419
14353::Max Ophüls::894
14392::Kathryn Bigelow::198|3727
14520::John Sturges::1085|1262
14597::Gaspar Noé::2557
14614::Joseph Vilsmaier::654|760|989|2493
14639::Mel Brooks::12|520|1278|2300|2301|3033|3622|3671
14643::William A. Wellman::958|1925|3217|3670
14674::George Cukor::898|906|914|927|3341
14692::Nick Castle::102|2453
14773::Don Siegel::2664|3427
14800::Jennifer Lynch::427
14838::James Bridges::2945|3733
14855::Frank Borzage::976
14860::Victor Saville::755
14875::Robert Rossen::1942|3468
14911::Penny Marshall::516|1363|2468|2797|3105|3255
14987::Peter Bonerz::2383
14995::Alan Myerson::2382
14999::George A. Romero::968|2898|2900|3016|3805
15002::Dean Parisot::2385|3175
15042::Arlene Sanford::818|2339
15056::Michael Gornick::3017
15106::Thomas Schlamme::411|543
15111::Jean-Claude Van Damme::704
15115::Stefan Ruzowitzky::2309|3892
15148::Jon Amiel::22|1689|2605|2875
15175::William Friedkin::132|424|1953|1997|2982|3513
15189::Michelangelo Antonioni::1360|3788
15206::Jim McBride::3584
15239::Terry Hughes::2266
15254::Emir Kusturica::665|2843|2931
15361::Josef Rusnak::2672
15378::Carol Reed::1212|1951
15389::Louis Malle::334|775|2130|2933
15488::Ken Loach::263|632|2481|3295
15521::Ernest R. Dickerson::328|547|886
15557::Bill Condon::606|2333
15630::James Goldstone::2523
15657::Vincent McEveety::2016|2031|2050|2051|3601
15663::Joseph Sargent::2855|3384
15774::Chris Buck::2687
15775::Kevin Lima::239|2687
15798::Lesli Linka Glatter::27|1820
15810::Ron Clements::588|1566|2048|2081
15811::John Musker::588|1566|2048|2081
15812::Roger Allers::364
15858::Tim Hunter::525|2104
15890::James Foley::67|662|1006|1095|2540|3391
15912::Stephen Gyllenhaal::271|1824
16008::James Komack::3690
16187::Jeannot Szwarc::1286|1388|2399|3877
16214::Mario Van Peebles::297
16294::Jonathan Demme::508|593|2247|2314|2859|2988
16327::Timothy Hutton::2233
16376::Larry David::1864
16378::Mary Harron::766|3535
16384::Ralph Bakshi::2116|3725
16391::Julie Taymor::3181
16395::Gregory Nava::279|1487|2190
16401::Roberto Sneider::403
16435::Julio Medem::2585
16483::Sylvester Stallone::2409|2410|2411
16513::John G. Avildsen::408|1954|2412|2420|2421|2422
16544::Ted Kotcheff::1091|1181|2403|3506
16566::George P. Cosmatos::553|1055|2402
16589::Peter MacDonald::126|2404
16672::Ate de Jong::1126
16730::Darrell James Roodt::40|981|3711
16837::Mark Steven Johnson::2236
16838::Steven Paul::1436
16853::Jessie Nelson::351
16862::Claude Lelouch::73|2969
16863::Todd Haynes::190|2337|3218
16897::Sidney Poitier::3373
16938::Renny Harlin::15|434|1047|1370|1971|2722|3443
16939::Michael Tolkin::503|2024
16957::Fenton Bailey::3859
16958::Randy Barbato::3859
16988::Maurice Pialat::738
17016::Neil Jordan::253|991|1094|1699|2264|2349|2446|3125
17046::Gary Winick::884|3853
17087::Michael Moore::1827|2064
17167::Andy Tennant::38|1457|2125|3155
17268::Ronny Yu::1525|2315
17278::Nick Gomez::283|1842|3324
17281::Mike Hodges::3783|3947
17309::Greg Beeman::212
17403::Mike Judge::1405|2502
17447::Terry Zwigoff::162
17494::Dennis Dugan::104|1431|2694|2798
17520::Cédric Klapisch::1571
17698::Nancy Meyers::2059
17784::John Irvin::452|753|1472|3402
17812::Gregory Hoblit::628|1754|3510
17871::John Hamburg::2128
17880::Wesley Strick::200
17883::David O. Russell::125|574|2890
18030::David Evans::2962
18069::Brian Gibson::79|477|1995|2482
18139::Tony Vitale::1612
18204::Peter Kassovitz::2882
18250::Jon Avnet::140|340|1271|1686
18254::Simon Wincer::455|487|688|761
18281::Donald Petrie::374|447|1113|2498|3450
18308::Steve Barron::435|828|3438
18320::Bronwen Hughes::801|2558
18356::Stephen Herek::62|552|1367|2082|2306
18357::Peter Hewitt::8|1848
18378::Herbert Ross::218|2249|3244|3497|3791|3844
18392::Robert Aldrich::2944|3333|3546
18500::Phil Joanou::731|3142
18533::Errol Morris::1189|1649|3182
18596::Taylor Hackford::1645|3206|3586
18598::Ishirō Honda::2363
18627::Paul Morrissey::1329
18635::Ted Post::2530|3280|3682
18669::J. Lee Thompson::1344|2477|2531|2532|3433|3654|3806
18679::Mark Tarlov::2491
18694::Bret Michaels::1765
18738::George Stevens::948|956|1067|3475|3871
18844::John Madden::1643|2396
18854::Martin Ritt::3103|3467|3501
18855::Ralph S. Singleton::2113
18863::Eric Darnell::2294
18868::Jerome Robbins::1947
18878::Rob Cohen::653|798|3484
18889::Mic Rodgers::2807
18898::Rob Minkoff::364|3157
18899::Yuen Woo-Ping::2924
18907::Richard Quine::3516
18969::Doris Dörrie::106
19012::Davis Guggenheim::3553
19032::John Hough::1009|2091
19069::Claude Chabrol::264|683|1406
19093::George Marshall::3349|3818
19142::Kenneth Johnson::1599
19143::Jason Priestley::3913
19224::Gregg Araki::166|1529|2864
19228::Jim Fall::2721
19244::Michael Winner::3430|3431|3432
19266::Larry Cohen::732
19303::Kevin Smith::180|223|1639|3052
19304::John Schlesinger::61|728|1332|1952|3219|3325|3496|3551
19377::Erick Zonca::2575
19450::Bob Rafelson::1351|3201|3529|3588
19457::Mark Robson::2535
19542::Nelson Shin::1205
19606::Jean Negulesco::3404
19665::John Boorman::155|1998|2370|2425|2871|2872|3143
19684::Bille August::469|1480|1873
19707::Charles Band::2256
19798::Randa Haines::2168|2312
19800::Richard Marquand::1210|3102
19840::Alejandro Amenábar::2594
19842::José Luis Cuerda::3746
19969::Pat O'Connor::222|1498|2246|2341
20026::Samira Makhmalbaf::2503
20133::Tod Williams::2766
20173::Don McKellar::3008
20237::Beeban Kidron::203|1656
20305::Christopher Roberts::2549
20370::Irving Pichel::3375
20412::Michael Anderson::952|2528
20430::Radu Mihăileanu::3003
20556::Bertrand Tavernier::681
20561::James Gray::268
20629::George Miller::2384|3702|3704
20640::Chen Kaige::446|1514|3158
20718::Claude Berri::563|1131|1132|2833
20773::Tim Sullivan::638
20779::Gary Sinyor::2768|3004
20789::Claude Sautet::645
20849::Étienne Chatiliez::115
20907::Antoine Fuqua::1769|3898
20951::Kevin Alyn Elders::2887
21013::Predrag Antonijević::2358
21053::John Dahl::103|2231
21085::Alex Proyas::353|1748
21113::D. A. Pennebaker::556
21136::Michael Cristofer::2979
21155::Jim Kouf::1662
21175::Michel Blanc::1174
21217::Jonathan Lynn::637|1550|2302|2413|3120|3301
21227::Sergio Martino::3493
21311::Wesley Ruggles::1928
21370::Roger Donaldson::196|459|1438|3505|3810
21371::Amy Holden Jones::992|3938
21377::Peter Medak::521|1162|1862
21404::Kurt Voss::2865|3064
21415::Robby Henson::777
21452::John Rich::3610
21506::George Sidney::3199|3599
21520::Sam Wanamaker::3807
21526::Rod Lurie::3952
21544::Richard C. Sarafian::3464
21678::Olivier Assayas::2705
21712::Carl Franklin::164|2272|3728
21806::Richard Rush::436
21819::Lewis Teague::2121|2405|2525|2787
21879::Simon Wells::13|2142|2394|3400
21958::Mark Rydell::1124|3109
22020::Barbara Kopple::1169|1865
22100::Hugh Johnson::2835
22461::Vincent Gallo::1916
22669::Julien Temple::3539
22676::Ole Bornedal::1355
22677::Max Färberböck::3854
22767::Alfonso Arau::207|265
22812::Marion Hänsel::3191
22814::Richard Wenk::2510
23213::Harold Becker::100|490|1833
23393::Barbet Schroeder::113|259|1598|3274
23677::Joe Pytka::673
23724::Patrice Chéreau::302|3636
23757::Joshua Brand::295
23964::Gary Ross::2321
23968::Phil Alden Robinson::1302|1396
24248::Nigel Cole::3831
24294::Ben Younger::3298
24318::Richard Benjamin::276|489|691|921|2375
24346::Roy Allen Smith::888
24485::Nicole Garcia::855
24560::Marion Vernoux::2576
24657::Franco Zeffirelli::613|2436|2744|3028|3428|3668|3723
24882::Jacques Demy::199
24939::George Seaton::2398|2520
24949::Michael Davis::2509
24970::John Asher::3149
25161::Marcel Carné::2920
25165::Roy William Neill::2651
25210::Jeremy Leven::224
25558::Don Chaffey::1030
25598::Paul Greengrass::2426
25630::Jack Clayton::1076|2097|3171
25645::Hirokazu Kore-eda::2624
25735::Christian Duguay::76|1631|3879
25826::Mario Bava::3119|3205|3589|3630|3832
25950::Jean-Paul Rappeneau::715|1277
26134::Roy Ward Baker::3207|3405|3658|3757
26265::Lina Wertmüller::2238
26458::Kevin Williamson::2806
26481::Anand Tucker::2442
26487::Norman René::189
26502::Howard Deutch::3|460|1290|1837|2145|3861
